"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","below_below_below_below_kingdom","below_below_below_below_below_kingdom","subkingdom","phylum","below_phylum","below_below_phylum","subphylum","below_subphylum","below_below_subphylum","below_below_below_subphylum","below_below_below_below_subphylum","below_below_below_below_below_subphylum","below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_below_subphylum","superclass","class","below_class","below_below_class","below_below_below_class","subclass","infraclass","below_infraclass","below_below_infraclass","below_below_below_infraclass","below_below_below_below_infraclass","superorder","below_superorder","order","below_order","suborder","below_suborder","family","subfamily","genus","subgenus","species","below_species","varietas","below_varietas"
"40674","32524","class","Mammalia","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","40674","","","","","","","","","","","","","","","","","","","","","","",""
"72037","6657","class","Maxillopoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","6656","197563","197562","6657","","","","","","","","","","72037","","","","","","","","","","","","","","","","","","","","","","",""
"6341","6340","class","Polychaeta","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6340","","","","","","","","","","","","","6341","","","","","","","","","","","","","","","","","","","","","","",""
"4891","147537","class","Saccharomycetes","1","131567","2759","33154","4751","","","","","","451864","4890","716545","","147537","","","","","","","","","","4891","","","","","","","","","","","","","","","","","","","","","","",""
"32525","40674","below_class","Theria","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","40674","32525","","","","","","","","","","","","","","","","","","","","","",""
"9347","32525","below_below_class","Eutheria","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","40674","32525","9347","","","","","","","","","","","","","","","","","","","","",""
"1437010","9347","below_below_below_class","Boreoeutheria","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","40674","32525","9347","1437010","","","","","","","","","","","","","","","","","","","",""
"6606","6605","subclass","Coleoidea","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6447","","","","","","","","","","","","","6605","","","","6606","","","","","","","","","","","","","","","","","","",""
"6830","72037","subclass","Copepoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","6656","197563","197562","6657","","","","","","","","","","72037","","","","6830","","","","","","","","","","","","","","","","","","",""
"1779146","6042","subclass","Heteroscleromorpha","1","131567","2759","33154","33208","","","","","","","6040","","","","","","","","","","","","","6042","","","","1779146","","","","","","","","","","","","","","","","","","",""
"6102","6101","subclass","Hexacorallia","1","131567","2759","33154","33208","6072","","","","","","6073","","","","","","","","","","","","","6101","","","","6102","","","","","","","","","","","","","","","","","","",""
"41665","186623","subclass","Neopterygii","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","7898","186623","","","","41665","","","","","","","","","","","","","","","","","","",""
"105387","6341","subclass","Scolecida","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6340","","","","","","","","","","","","","6341","","","","105387","","","","","","","","","","","","","","","","","","",""
"215449","6606","infraclass","Neocoleoidea","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6447","","","","","","","","","","","","","6605","","","","6606","215449","","","","","","","","","","","","","","","","","",""
"116569","6830","infraclass","Neocopepoda","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","6656","197563","197562","6657","","","","","","","","","","72037","","","","6830","116569","","","","","","","","","","","","","","","","","",""
"32443","41665","infraclass","Teleostei","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","7898","186623","","","","41665","32443","","","","","","","","","","","","","","","","","",""
