"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","kingdom","subkingdom","phylum","below_phylum","below_below_phylum","below_below_below_phylum","below_below_below_below_phylum","below_below_below_below_below_phylum","below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_below_phylum","below_below_below_below_below_below_below_below_below_below_phylum","subphylum","class","below_class","subclass","below_subclass","order","below_order","suborder","family","below_family","subfamily","tribe","genus","below_genus","species","below_species","varietas"
"44440","44439","species","Chattonella subsalsa","1","131567","2759","33634","","","","","","","","","","","","","","","","38410","","","","658125","","","658124","","","","44439","","44440","",""
"96789","2997","species","Chromulina nebulosa","1","131567","2759","33634","","","","","","","","","","","","","","","","2825","","","","96792","","","98651","","","","2997","","96789","",""
"1486917","1486916","species","Craspedostauros australis","1","131567","2759","33634","","","","2836","","","","","","","","","","","","33849","33850","","","38748","","","67474","","","","1486916","","1486917","",""
"35687","35686","species","Dictyocha speculum","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","35685","","","","","","","35686","","35687","",""
"94617","94616","species","Fibrocapsa japonica","1","131567","2759","33634","","","","","","","","","","","","","","","","38410","","","","658125","","","658124","","","","94616","","94617","",""
"236787","236786","species","Florenciella parvula","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","590977","","","","","","","236786","","236787","",""
"2829","2828","species","Heterosigma akashiwo","1","131567","2759","33634","","","","","","","","","","","","","","","","38410","","","","658125","","","658124","","","","2828","","2829","",""
"483371","372997","species","Ochromonadaceae sp. CCMP2298","1","131567","2759","33634","","","","","","","","","","","","","","","","33859","","","","98652","","","88165","372997","","","","","483371","",""
"420556","2985","species","Ochromonas sp. CCMP1393","1","131567","2759","33634","","","","","","","","","","","","","","","","2825","","","","96792","","","98651","","","","2985","","420556","",""
"37642","36769","species","Paraphysomonas imperforata","1","131567","2759","33634","","","","","","","","","","","","","","","","2825","","","","96792","","","36768","","","","36769","","37642","",""
"36770","36769","species","Paraphysomonas vestita","1","131567","2759","33634","","","","","","","","","","","","","","","","2825","","","","96792","","","36768","","","","36769","","36770","",""
"483369","483368","species","Pedinellales sp. CCMP2098","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","35680","483368","","","","","","","","483369","",""
"35679","35678","species","Pelagococcus subviridis","1","131567","2759","33634","","","","","","","","","","","","","","","","35675","","","","54409","","","","","","","35678","","35679","",""
"35677","35676","species","Pelagomonas calceolata","1","131567","2759","33634","","","","","","","","","","","","","","","","35675","","","","54409","","","","","","","35676","","35677","",""
"483370","114041","species","Pelagophyceae sp. CCMP2097","1","131567","2759","33634","","","","","","","","","","","","","","","","35675","114041","","","","","","","","","","","","483370","",""
"1462469","114041","species","Pelagophyceae sp. CCMP2135","1","131567","2759","33634","","","","","","","","","","","","","","","","35675","114041","","","","","","","","","","","","1462469","",""
"39354","39175","species","Perovskia abrotanoides","1","131567","2759","","","33090","","35493","131221","3193","58023","78536","58024","3398","1437183","71240","91827","1437201","","","","71274","91888","4143","","","4136","","216706","216718","39175","","39354","",""
"124430","124429","species","Phaeomonas parva","1","131567","2759","33634","","","","157124","","","","","","","","","","","","","","","","1004267","","","1004268","","","","124429","","124430","",""
"4784","4783","species","Phytophthora capsici","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","4776","","","","","","","4783","","4784","",""
"4785","4783","species","Phytophthora cinnamomi","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","4776","","","","","","","4783","","4785","",""
"4787","4783","species","Phytophthora infestans","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","4776","","","","","","","4783","","4787","",""
"164328","4783","species","Phytophthora ramorum","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","4776","","","","","","","4783","","164328","",""
"67593","4783","species","Phytophthora sojae","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","4776","","","","","","","4783","","67593","",""
"172671","172670","species","Pinguiococcus pyrenoidosus","1","131567","2759","33634","","","","157124","","","","","","","","","","","","","","","","1004267","","","1004268","","","","172670","","172671","",""
"35684","35683","species","Pseudopedinella elastica","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","35680","","","","","","","35683","","35684","",""
"1034831","35673","species","Rhizochromulina marina","1","131567","2759","33634","","","","","","","","","","","","","","","","39119","","","","590978","","","","","","","35673","","1034831","",""
"87120","5375","species","Rhizopogon burlinghamii","1","131567","2759","33154","","4751","451864","5204","","","","","","","","","","","5302","155619","","452333","","68889","","227332","48595","","","","5375","","87120","",""
"4773","4772","species","Schizochytrium aggregatum","1","131567","2759","33634","","","","","","","","","","","","","","","","35131","","","","","","","33674","","","","4772","","4773","",""
"89044","89043","species","Spumella elongata","1","131567","2759","33634","","","","","","","","","","","","","","","","2825","","","","96792","","","98651","","","","89043","","89044","",""
"1181717","1181712","species","Synchroma pusillum","1","131567","2759","33634","","","","","","","","","","","","","","","","557229","","","","","","","","","","","1181712","","1181717","",""
"1112570","1299920","species","Thraustochytrium sp. LLF1b","1","131567","2759","33634","","","","","","","","","","","","","","","","35131","","","","","","","33674","","","","4774","1299920","1112570","",""
"109269","2976","species","Vaucheria litorea","1","131567","2759","33634","569578","","","2833","","","","","","","","","","","","","","","","2974","","","2975","","","","2976","","109269","",""
"96639","96638","species","labyrinthulid quahog parasite QPX","1","131567","2759","33634","","","","","","","","","","","","","","","","35131","96638","","","","","","","","","","","","96639","",""
"702273","87111","below_species","Aplanochytrium kerguelense PBS07","1","131567","2759","33634","","","","","","","","","","","","","","","","35131","","","","","","","33674","","","","87110","","87111","702273",""
"536046","2829","below_species","Heterosigma akashiwo CCMP452","1","131567","2759","33634","","","","","","","","","","","","","","","","38410","","","","658125","","","658124","","","","2828","","2829","536046",""
"536047","2829","below_species","Heterosigma akashiwo NIES-293","1","131567","2759","33634","","","","","","","","","","","","","","","","38410","","","","658125","","","658124","","","","2828","","2829","536047",""
"763924","4784","below_species","Phytophthora capsici LT1534","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","4776","","","","","","","4783","","4784","763924",""
"403677","4787","below_species","Phytophthora infestans T30-4","1","131567","2759","33634","","","","","","","","","","","","","","","","4762","","","","4776","","","","","","","4783","","4787","403677",""
